"Batch_No","Product","Site","Manufacture_Date","Release_Date","Operator_ID","Batch_Size_kg","Assay_pct","Dissolution_pct","pH","Moisture_pct","Yield_pct","Assay_Fail","Dissolution_Fail","pH_Fail","Moisture_Fail","Result","Batch_Status","Deviation_Raised","CAPA_Required"
"BN-DUN-202405-0448","Biologics-DS-B","Dunboyne","2024-05-31",2024-06-11,"OP-005",253.4,98.31,88.17,7.36,0.298,88.56,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202405-0556","Biologics-DS-A","Dunboyne","2024-05-31",2024-06-18,"OP-013",198.7,98.51,90.08,6.97,0.248,84.84,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202406-0102","Gardasil-Fill","Carlow","2024-06-09",2024-06-15,"OP-014",46.8,99.44,89.89,7.04,0.231,90.32,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202406-0328","Biologics-DS-B","Dunboyne","2024-06-12",2024-06-19,"OP-018",51.7,97.48,88.76,6.88,0.285,86.4,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202406-0341","Oncology-BioTx_01","Brinny","2024-06-14",2024-06-26,"OP-008",196.8,99,93.38,7.04,0.273,87.77,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202406-0336","HepC-API","Ballydine","2024-06-18",2024-06-30,"OP-020",48.5,98.98,92.41,6.98,0.275,84.61,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202406-0456","Gardasil-Fill","Carlow","2024-06-18",2024-07-06,"OP-015",202.2,98.01,95.59,7.02,0.286,88.09,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202406-0173","Gardasil-Fill","Carlow","2024-06-19",2024-07-03,"OP-004",96.9,98.92,80.91,7.36,0.321,86.95,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202406-0093","HepC-API","Ballydine","2024-06-27",2024-07-06,"OP-018",199.8,98.84,86.68,7.2,0.172,86.03,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202406-0436","Biologics-DS-B","Dunboyne","2024-06-29",2024-07-04,"OP-001",250.5,101.75,79.26,7.25,0.289,72.63,"Yes","Yes","No","No","Fail","Under Review","Yes","Yes"
"BN-DUN-202407-0199","Biologics-DS-B","Dunboyne","2024-07-03",2024-07-11,"OP-009",46,97.81,85.07,6.95,0.308,83.31,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202407-0053","HepC-API","Ballydine","2024-07-04",2024-07-09,"OP-004",249.1,99.26,87.95,7.07,0.212,85.77,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0306","Biologics-DS-A","Dunboyne","2024-07-05",2024-07-15,"OP-006",53.7,97.84,86.27,7.13,0.134,81.82,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0300","Biologics-DS-B","Dunboyne","2024-07-07",2024-07-23,"OP-006",99.8,98.44,82.37,7.07,0.329,87.83,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202407-0084","Gardasil-Fill","Carlow","2024-07-11",2024-07-27,"OP-020",52.6,98.47,84.4,6.91,0.295,95.38,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0317","Biologics-DS-B","Dunboyne","2024-07-14",2024-07-29,"OP-002",246.6,99.04,93.27,6.88,0.334,87.03,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202407-0391","HepC-API","Ballydine","2024-07-14",2024-07-22,"OP-003",195.4,99.33,91.81,7.07,0.36,84.06,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0546","Biologics-DS-A","Dunboyne","2024-07-19",2024-07-26,"OP-002",246.9,97.45,82.4,7.27,0.281,84.08,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202407-0463","Gardasil-Fill","Carlow","2024-07-20",2024-07-26,"OP-005",45.5,98.77,95.18,7.24,0.299,93.35,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0096","Biologics-DS-A","Dunboyne","2024-07-21",2024-07-29,"OP-002",45.2,97,84.26,7.05,0.311,81.51,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0320","Biologics-DS-B","Dunboyne","2024-07-22",2024-08-04,"OP-003",102.3,97.98,89.59,7.07,0.302,90.47,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202407-0404","Biologics-DS-B","Dunboyne","2024-07-25",2024-08-09,"OP-014",101.1,94.38,70.77,7.19,0.372,79.8,"Yes","Yes","No","No","Fail","Under Review","Yes","Yes"
"BN-DUN-202407-0227","Biologics-DS-A","Dunboyne","2024-07-30",2024-08-12,"OP-019",49.5,97.23,90.49,7,0.29,82.21,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202407-0510","Oncology-BioTx_01","Brinny","2024-07-30",2024-08-06,"OP-010",102.2,97,91.26,7.08,0.261,88.21,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202408-0116","Gardasil-Fill","Carlow","2024-08-03",2024-08-12,"OP-012",95.5,98.18,88.33,7.11,0.294,92.57,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0351","HepC-API","Ballydine","2024-08-03",2024-08-16,"OP-009",52.6,98.97,82.84,7.21,0.152,87.11,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0269","HepC-API","Ballydine","2024-08-05",2024-08-12,"OP-017",248.3,98.57,89.38,7.13,0.208,88.04,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0534","Keytruda-API","Ballydine","2024-08-06",2024-08-18,"OP-010",203.6,98.21,92.93,7.12,0.22,88.29,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202408-0089","Biologics-DS-B","Dunboyne","2024-08-07",2024-08-23,"OP-012",197.8,98.53,87.14,6.94,0.32,87.74,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202408-0130","Gardasil-Fill","Carlow","2024-08-07",2024-08-20,"OP-008",245.8,100.11,84.4,7.25,0.286,91.6,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202408-0316","Oncology-BioTx_01","Brinny","2024-08-08",2024-08-16,"OP-005",200.4,98.25,85.94,7.13,0.368,83.82,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202408-0092","Oncology-BioTx_01","Brinny","2024-08-12",2024-08-19,"OP-011",101.6,99.02,88.94,7.17,0.18,86.6,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202408-0278","Oncology-BioTx_01","Brinny","2024-08-13",2024-08-19,"OP-003",203.9,98.72,87.99,7.19,0.307,86.57,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0352","HepC-API","Ballydine","2024-08-13",2024-08-19,"OP-008",200.4,102.25,77.67,7.25,0.269,73.41,"Yes","Yes","No","No","Fail","Under Review","Yes","Yes"
"BN-BAL-202408-0407","Keytruda-API","Ballydine","2024-08-14",2024-08-28,"OP-014",48.4,99.07,89.61,7.07,0.241,88.39,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202408-0157","Oncology-BioTx_01","Brinny","2024-08-15",2024-09-01,"OP-007",249,99.49,89.92,6.81,0.171,88.11,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202408-0192","Biologics-DS-A","Dunboyne","2024-08-15",2024-08-26,"OP-014",104.1,97.32,89.74,7.04,0.229,87.89,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202408-0333","Biologics-DS-B","Dunboyne","2024-08-15",2024-08-25,"OP-016",48.9,97.67,84.45,6.99,0.278,83.65,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202408-0263","Biologics-DS-B","Dunboyne","2024-08-16",2024-08-31,"OP-010",95.4,98.53,90.67,7.09,0.293,89.63,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0246","Keytruda-API","Ballydine","2024-08-24",2024-09-10,"OP-007",253.7,97.91,87.62,7.25,0.278,85.6,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0149","Keytruda-API","Ballydine","2024-08-25",2024-09-08,"OP-005",49.6,98.81,88.93,6.95,0.268,88.13,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0247","Keytruda-API","Ballydine","2024-08-26",2024-09-07,"OP-001",251.5,100.24,85.81,7.4,0.298,86.82,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202408-0219","Keytruda-API","Ballydine","2024-08-28",2024-09-15,"OP-014",46.2,98.45,90.31,7.1,0.233,89.41,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202408-0433","Biologics-DS-A","Dunboyne","2024-08-28",2024-09-04,"OP-007",201,102.75,72.25,7.17,0.603,74.69,"Yes","Yes","No","Yes","Fail","Under Review","Yes","Yes"
"BN-DUN-202408-0457","Biologics-DS-A","Dunboyne","2024-08-28",2024-09-04,"OP-016",97,97.41,88.71,7.06,0.322,88.32,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202409-0298","HepC-API","Ballydine","2024-09-01",2024-09-09,"OP-005",203.7,100.15,87.39,7.13,0.3,89.29,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202409-0036","Gardasil-Fill","Carlow","2024-09-03",2024-09-20,"OP-009",52.3,97.75,86.93,6.99,0.35,87.67,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202409-0295","Oncology-BioTx_01","Brinny","2024-09-03",2024-09-20,"OP-009",247.1,99.45,88.44,7.2,0.257,84.69,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0121","HepC-API","Ballydine","2024-09-04",2024-09-17,"OP-008",198.2,99.43,85.86,6.81,0.276,86.35,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202409-0270","Gardasil-Fill","Carlow","2024-09-07",2024-09-25,"OP-010",248.6,99.33,90.83,7.05,0.273,89.8,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202409-0343","Oncology-BioTx_01","Brinny","2024-09-08",2024-09-25,"OP-017",250.1,99.05,93.55,7.12,0.222,89.38,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0135","Biologics-DS-A","Dunboyne","2024-09-10",2024-09-18,"OP-007",48.3,97.6,88.99,7.06,0.273,85.05,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0057","Biologics-DS-A","Dunboyne","2024-09-11",2024-09-25,"OP-016",100.3,97.74,85.91,7.18,0.123,86.02,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0406","Biologics-DS-B","Dunboyne","2024-09-14",2024-09-21,"OP-009",95.3,97.73,92.28,7.1,0.28,86.04,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0517","Biologics-DS-B","Dunboyne","2024-09-14",2024-09-24,"OP-018",48.4,98.84,83.78,7.2,0.175,86.46,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0194","Keytruda-API","Ballydine","2024-09-15",2024-09-24,"OP-002",249.7,99.41,91.34,7.32,0.272,88.96,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202409-0065","Gardasil-Fill","Carlow","2024-09-20",2024-10-06,"OP-003",197.8,98.27,91.16,7.11,0.399,92.88,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0193","Keytruda-API","Ballydine","2024-09-20",2024-09-28,"OP-002",249.5,98.75,89.76,7.05,0.268,87.05,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202409-0222","Oncology-BioTx_01","Brinny","2024-09-20",2024-10-07,"OP-011",199.4,98.36,84.79,7.23,0.265,90.33,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0195","HepC-API","Ballydine","2024-09-22",2024-10-07,"OP-008",98.9,99.72,92.16,6.96,0.31,89.29,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0418","Keytruda-API","Ballydine","2024-09-24",2024-10-05,"OP-019",245.2,97.86,88.42,7.11,0.258,88.54,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0442","Biologics-DS-A","Dunboyne","2024-09-24",2024-10-01,"OP-004",102.7,97.94,91.41,7.02,0.29,82.27,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202409-0095","HepC-API","Ballydine","2024-09-26",2024-10-10,"OP-001",101.5,99.25,91.57,7,0.243,86.66,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202409-0562","Biologics-DS-A","Dunboyne","2024-09-30",2024-10-12,"OP-015",252.7,97,91.74,7.09,0.244,83.74,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0238","Biologics-DS-B","Dunboyne","2024-10-03",2024-10-20,"OP-010",46.6,98.25,84.08,7.33,0.114,83.95,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202410-0475","Gardasil-Fill","Carlow","2024-10-03",2024-10-08,"OP-002",249.6,102.24,77.52,7.1,0.72,77.14,"Yes","Yes","No","Yes","Fail","Under Review","Yes","Yes"
"BN-BAL-202410-0284","Keytruda-API","Ballydine","2024-10-04",2024-10-11,"OP-018",52.1,99.69,85.68,6.98,0.286,89.4,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0331","Biologics-DS-A","Dunboyne","2024-10-04",2024-10-12,"OP-017",48.8,97,91.32,7.06,0.28,83.24,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0028","Biologics-DS-A","Dunboyne","2024-10-09",2024-10-25,"OP-007",95.1,97.51,84.48,7.14,0.287,83.58,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202410-0261","Oncology-BioTx_01","Brinny","2024-10-10",2024-10-22,"OP-005",246.7,98.09,94.06,7.2,0.371,84.82,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0497","Biologics-DS-A","Dunboyne","2024-10-10",2024-10-28,"OP-007",246.9,97.57,84.02,7.2,0.226,87.53,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202410-0189","HepC-API","Ballydine","2024-10-12",2024-10-19,"OP-007",102.7,98.66,86.18,7.24,0.294,87.27,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202410-0200","Oncology-BioTx_01","Brinny","2024-10-12",2024-10-25,"OP-004",253.9,98.98,88.38,7.08,0.375,85.35,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202410-0528","Gardasil-Fill","Carlow","2024-10-14",2024-10-28,"OP-011",254.6,98.34,93.52,7.14,0.322,90.81,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202410-0309","Oncology-BioTx_01","Brinny","2024-10-16",2024-10-31,"OP-007",199,99.01,81.46,7.2,0.307,90.45,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0066","Biologics-DS-B","Dunboyne","2024-10-17",2024-10-30,"OP-001",98.2,99.42,91.88,7.08,0.229,83.7,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202410-0327","Keytruda-API","Ballydine","2024-10-20",2024-11-02,"OP-013",54.4,99.34,88.59,7.03,0.38,89.01,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0055","Biologics-DS-B","Dunboyne","2024-10-22",2024-10-31,"OP-020",54.6,97.81,90.19,6.94,0.33,83.73,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202410-0487","Keytruda-API","Ballydine","2024-10-23",2024-11-01,"OP-007",195.1,99.22,84.86,7.14,0.41,85.64,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0353","Biologics-DS-B","Dunboyne","2024-10-24",2024-11-04,"OP-011",99.3,97.27,85.17,7.21,0.234,87.67,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202410-0488","HepC-API","Ballydine","2024-10-24",2024-11-10,"OP-013",253.9,98.94,89.66,6.95,0.146,92.52,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202410-0388","HepC-API","Ballydine","2024-10-28",2024-11-02,"OP-004",99.3,99.78,88.42,7.17,0.254,88.43,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0272","Biologics-DS-A","Dunboyne","2024-10-29",2024-11-11,"OP-002",203.2,98.14,89.96,6.96,0.159,86.27,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202410-0424","Keytruda-API","Ballydine","2024-10-29",2024-11-04,"OP-001",246.8,99.83,88.83,7.18,0.269,85.99,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202410-0384","Biologics-DS-B","Dunboyne","2024-10-30",2024-11-16,"OP-016",200.3,98.14,81.49,7.13,0.22,90.39,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0033","HepC-API","Ballydine","2024-11-01",2024-11-17,"OP-019",46.2,98.12,89.53,7.07,0.11,92.01,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0303","Biologics-DS-A","Dunboyne","2024-11-02",2024-11-19,"OP-007",50.8,98.1,91.12,7.11,0.354,83.68,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0011","Biologics-DS-B","Dunboyne","2024-11-04",2024-11-14,"OP-017",246,98.36,88.27,7.03,0.224,84.72,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0226","Biologics-DS-A","Dunboyne","2024-11-04",2024-11-19,"OP-019",49.2,97,88.39,6.89,0.328,80.6,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0286","Keytruda-API","Ballydine","2024-11-09",2024-11-20,"OP-005",198.1,100.34,87.67,7.09,0.315,88.03,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BRI-202411-0097","Oncology-BioTx_01","Brinny","2024-11-10",2024-11-17,"OP-002",53.5,98.44,85.04,7.22,0.317,85.3,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0529","Biologics-DS-A","Dunboyne","2024-11-12",2024-11-17,"OP-019",104,97.55,86.17,6.96,0.326,83.25,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0152","HepC-API","Ballydine","2024-11-18",2024-11-23,"OP-016",104.3,98.68,86.74,7.04,0.245,87,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0250","Biologics-DS-A","Dunboyne","2024-11-18",2024-11-30,"OP-011",48.7,97.33,84.22,7.05,0.252,86.26,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202411-0288","Oncology-BioTx_01","Brinny","2024-11-18",2024-11-27,"OP-014",245.4,99.53,88.18,7.19,0.3,87.15,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0104","HepC-API","Ballydine","2024-11-19",2024-12-05,"OP-009",250.3,99.66,90.91,7.24,0.235,92.6,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0310","Biologics-DS-B","Dunboyne","2024-11-22",2024-12-07,"OP-003",52,97.95,86.31,7.1,0.269,86.62,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-CAR-202411-0076","Gardasil-Fill","Carlow","2024-11-23",2024-12-10,"OP-010",96.7,98.97,92.01,6.93,0.309,94.71,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202411-0348","Gardasil-Fill","Carlow","2024-11-24",2024-12-02,"OP-004",53.7,98.87,88.32,7.05,0.197,90,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0038","HepC-API","Ballydine","2024-11-26",2024-12-12,"OP-016",197.5,98.99,87.01,7.19,0.282,85.7,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202411-0143","Biologics-DS-B","Dunboyne","2024-11-27",2024-12-08,"OP-001",55,98.05,90.44,7.12,0.205,84.76,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202411-0493","Oncology-BioTx_01","Brinny","2024-11-29",2024-12-12,"OP-017",250.2,100.37,82.28,7.2,0.276,89.26,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202411-0435","HepC-API","Ballydine","2024-11-30",2024-12-13,"OP-011",252.4,99.24,92.32,7.1,0.322,89.53,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202412-0251","Oncology-BioTx_01","Brinny","2024-12-01",2024-12-19,"OP-006",53.7,99.17,88.86,7.2,0.262,86.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0503","Keytruda-API","Ballydine","2024-12-02",2024-12-16,"OP-016",102.2,98.47,89.22,7.02,0.263,86.04,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0085","Keytruda-API","Ballydine","2024-12-03",2024-12-19,"OP-017",54.1,99.92,83.22,6.88,0.271,84.21,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0094","Biologics-DS-A","Dunboyne","2024-12-03",2024-12-20,"OP-013",96.2,97.38,86.07,7.23,0.338,85.78,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0421","Biologics-DS-B","Dunboyne","2024-12-06",2024-12-15,"OP-012",96.7,99.31,85.67,7.16,0.259,92.21,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202412-0230","Oncology-BioTx_01","Brinny","2024-12-09",2024-12-16,"OP-017",48.3,99.46,88.54,7.12,0.252,86.95,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0182","Biologics-DS-B","Dunboyne","2024-12-11",2024-12-26,"OP-006",95.3,97.17,85.84,7.01,0.271,83.36,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0423","HepC-API","Ballydine","2024-12-12",2024-12-18,"OP-020",197.2,99.53,93.97,7.14,0.334,87.6,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BRI-202412-0154","Oncology-BioTx_01","Brinny","2024-12-15",2024-12-23,"OP-005",250.1,99.15,90.99,7.1,0.339,82.1,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0586","Keytruda-API","Ballydine","2024-12-15",2024-12-27,"OP-018",204.6,99.17,84.94,7.2,0.336,84.69,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0056","HepC-API","Ballydine","2024-12-16",2024-12-21,"OP-007",248.9,100.13,94.39,7.16,0.198,86.9,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0276","Biologics-DS-A","Dunboyne","2024-12-16",2024-12-24,"OP-017",199.1,97,88.88,7.06,0.403,83.41,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0308","Keytruda-API","Ballydine","2024-12-16",2024-12-26,"OP-006",204.1,99.51,82.75,7.15,0.388,88.9,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0125","Biologics-DS-B","Dunboyne","2024-12-17",2025-01-01,"OP-001",195.3,98.41,90.33,7.13,0.209,84.39,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0334","HepC-API","Ballydine","2024-12-17",2024-12-30,"OP-005",49.7,98.68,88.01,7.21,0.24,89.6,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202412-0339","Oncology-BioTx_01","Brinny","2024-12-18",2025-01-04,"OP-006",202.4,97.91,90.04,7.08,0.344,88.27,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0253","Keytruda-API","Ballydine","2024-12-19",2024-12-31,"OP-017",253.3,98.46,86.44,7.02,0.251,80.4,"No","No","No","No","Pass","Released","No","No"
